target_name,hypothesis_id,hypothesis_rank,side,neuron_idx,candidate_idx,discovery_target_separation,fidelity_gap,interpretation,heldout_yes_rate,heldout_separation,effect,se,p_value,n_pairs,p_bonf,bonferroni_sig_0_05,bh_q,source,positive_yes_rate,negative_yes_rate,paired_z,paired_p,paired_bh_q,n_positive,n_negative,positive_only_pairs,negative_only_pairs,tied_pairs,n_present,n_absent,effect_pp,se_pp,ci_low_pp,ci_high_pp,primary_category,category_vote_count,disagreement_level,novelty_score,category_display,is_significant,display_label
same_task_exposed_vs_non_exposed,same_task_exposed_vs_non_exposed__h17__n137,17,Exposed,137,2,0.516624317456885,0.512,"describes automated systems that directly replace manual logging, inspection, sorting, or equipment adjustment with sensors, robotics, computer vision, or predictive process tools",0.282,0.526,0.4255,0.012320745731801053,2.373699904703072e-261,2000,4.7473998094061436e-260,True,1.5824666031353813e-260,country,,,,,,,,,,,,,42.55,1.2320745731801053,40.13513383656699,44.964866163433,country_context_condition,3,unanimous_category,validation,Country context,True,"Describes automated systems that directly replace manual logging, inspection, sorting, or equipment adjustment with sensors, robotics, computer vision, or predictive process tools"
same_task_exposed_vs_non_exposed,same_task_exposed_vs_non_exposed__h07__n492,7,Exposed,492,1,0.527191479770089,0.532,"AI tools or models are described as synthesizing, aggregating, or converting large amounts of unstructured or technical data into structured outputs or recommendations",0.475,0.535,0.534,0.012845407827357042,0.0,2000,0.0,True,0.0,country,,,,,,,,,,,,,53.400000000000006,1.2845407827357043,50.882300065838024,55.91769993416199,country_context_condition,3,unanimous_category,incremental,Country context,True,"AI tools or models are described as synthesizing, aggregating, or converting large amounts of unstructured or technical data into structured outputs or recommendations"
same_task_exposed_vs_non_exposed,same_task_exposed_vs_non_exposed__h04__n448,4,Non-exposed,448,2,-0.5290432197090369,0.332,"mentions lack of widespread, locally deployable automation technology or standardized commercial automation tools",0.635,-0.53,-0.4915,0.012847038499167796,3.0805e-320,2000,6.161e-319,True,3.0805e-319,country,,,,,,,,,,,,,-49.15,1.2847038499167796,-51.668019545836884,-46.63198045416311,country_context_condition,3,unanimous_category,incremental,Country context,True,"Mentions lack of widespread, locally deployable automation technology or standardized commercial automation tools"
same_task_exposed_vs_non_exposed,same_task_exposed_vs_non_exposed__h19__n482,19,Non-exposed,482,2,-0.5134494486241369,0.256,"mentions non-digitized, fragmented, or localized information sources and context-specific judgment",0.436,-0.395,-0.3885,0.013942061021698562,7.025505657174889e-171,2000,1.4051011314349777e-169,True,2.341835219058296e-170,country,,,,,,,,,,,,,-38.85,1.3942061021698562,-41.582643960252916,-36.11735603974709,country_context_task_interaction,3,unanimous_category,incremental,Country/task interaction,True,"Mentions non-digitized, fragmented, or localized information sources and context-specific judgment"
same_task_exposed_vs_non_exposed,same_task_exposed_vs_non_exposed__h05__n367,5,Exposed,367,2,0.5286589128886778,0.248,"mentions software or digital systems automating administrative record-keeping, scheduling, registration, or data entry",0.288,0.437,0.3585,0.012592384963919255,2.7887547655415265e-178,2000,5.577509531083053e-177,True,1.1155019062166106e-177,country,,,,,,,,,,,,,35.85,1.2592384963919254,33.38189254707183,38.318107452928174,country_context_condition,3,unanimous_category,validation,Country context,True,"Mentions software or digital systems automating administrative record-keeping, scheduling, registration, or data entry"
same_task_exposed_vs_non_exposed,same_task_exposed_vs_non_exposed__h01__n156,1,Non-exposed,156,1,-0.5379592187410505,0.316,"emphasizes fragmented physical archives, manual handling, or small-scale artisanal/manual work that lacks the infrastructure or scale for automation",0.5,-0.448,-0.4475,0.013498628874472599,5.3856636018429935e-241,2000,1.0771327203685986e-239,True,2.6928318009214966e-240,country,,,,,,,,,,,,,-44.75,1.3498628874472598,-47.39573125939663,-42.10426874060337,country_context_condition,3,unanimous_category,incremental,Country context,True,"Emphasizes fragmented physical archives, manual handling, or small-scale artisanal/manual work that lacks the infrastructure or scale for automation"
same_task_exposed_vs_non_exposed,same_task_exposed_vs_non_exposed__h11__n36,11,Exposed,36,1,0.521330478826171,0.564,"mentions digital platforms that automate delivery, dissemination, or generation of structured content and workflows",0.227,0.433,0.3045,0.012184584812521385,7.736796853467212e-138,2000,1.5473593706934425e-136,True,2.210513386704918e-137,country,,,,,,,,,,,,,30.45,1.2184584812521386,28.061821376745808,32.838178623254194,country_context_condition,3,unanimous_category,validation,Country context,True,"Mentions digital platforms that automate delivery, dissemination, or generation of structured content and workflows"
same_task_exposed_vs_non_exposed,same_task_exposed_vs_non_exposed__h20__n204,20,Non-exposed,204,2,-0.5132914334002324,0.664,"mentions limited digital infrastructure, unreliable internet or power, and low digital integration/adoption as the reason automation is not viable",0.246,-0.417,-0.3095,0.012567173187354444,6.387958060968176e-134,2000,1.2775916121936352e-132,True,1.596989515242044e-133,country,,,,,,,,,,,,,-30.95,1.2567173187354443,-33.41316594472147,-28.48683405527853,country_context_condition,3,unanimous_category,incremental,Country context,True,"Mentions limited digital infrastructure, unreliable internet or power, and low digital integration/adoption as the reason automation is not viable"
same_task_exposed_vs_non_exposed,same_task_exposed_vs_non_exposed__h18__n194,18,Exposed,194,2,0.5151296458580339,0.612,"mentions drafting or generating standardized documents, reports, letters, or templates from structured inputs, with automation replacing manual clerical writing",0.292,0.337,0.2785,0.013268643617631979,8.208692308485005e-98,2000,1.641738461697001e-96,True,1.824153846330001e-97,country,,,,,,,,,,,,,27.85,1.3268643617631979,25.249345850944135,30.450654149055868,country_context_condition,3,unanimous_category,incremental,Country context,True,"Mentions drafting or generating standardized documents, reports, letters, or templates from structured inputs, with automation replacing manual clerical writing"
same_task_exposed_vs_non_exposed,same_task_exposed_vs_non_exposed__h10__n495,10,Non-exposed,495,2,-0.5216442106393258,0.712,"mentions deep local cultural, linguistic, and contextual knowledge",0.172,-0.259,-0.148,0.011229917877160272,1.1579236924737809e-39,2000,2.3158473849475618e-38,True,1.543898256631708e-39,country,,,,,,,,,,,,,-14.799999999999999,1.1229917877160271,-17.001063903923413,-12.598936096076585,country_context_task_interaction,3,unanimous_category,novel,Country/task interaction,True,"Mentions deep local cultural, linguistic, and contextual knowledge"
same_task_exposed_vs_non_exposed,same_task_exposed_vs_non_exposed__h03__n172,3,Non-exposed,172,1,-0.5307277484115542,0.8,"mentions paper-based, fragmented, or siloed records and the lack of digitized, standardized, interoperable data systems",0.123,-0.235,-0.1015,0.009779913003149598,3.1089234875870953e-25,2000,6.2178469751741905e-24,True,3.657557044220112e-25,country,,,,,,,,,,,,,-10.15,0.9779913003149598,-12.066862948617322,-8.233137051382679,country_context_condition,3,unanimous_category,incremental,Country context,True,"Mentions paper-based, fragmented, or siloed records and the lack of digitized, standardized, interoperable data systems"
