rule,iso3,country_name,income_level,task_id,task_label,exposure_level_mode,dominant_channel_mode,margin_mode,has_material_ai_integration_mode,short_rationale_mode
level3_says_no_automation,AUS,Australia,High income,2443,"Prepare documents such as representation contracts, purchase agreements, closing statements, deeds, and leases.",3,informational_transformation,both,True,"Legal document generation software is highly mature in Australia, allowing standard contracts to be drafted via templates or AI-driven generation, though complex customization remains human-led."
level3_says_no_automation,CHL,Chile,High income,3968,"Edit, standardize, or make changes to material prepared by other writers or establishment personnel.",3,informational_transformation,both,True,"Large language models can perform extensive editing and style standardization, allowing for significant automation of routine copyediting, though high-stakes nuanced editorial judgment remains a human-led activity in the Chilean professional context."
level3_says_no_automation,CHN,China,Upper middle income,2449,Generate lists of properties that are compatible with buyers' needs and financial resources.,3,planning_control,substitute,True,"Digital real estate platforms in China extensively automate property matching using recommendation algorithms, effectively replacing manual list compilation for most buyer segments, though personalized advising remains a human-led activity."
level3_says_no_automation,DEU,Germany,High income,1273,"Write, analyze, review, and rewrite programs, using workflow chart and diagram, and applying knowledge of computer capabilities, subject matter, and symbolic logic.",3,informational_transformation,both,True,"AI-driven code generation and analysis tools extensively automate software construction and refactoring, though complex system architecture remains human-led, creating a hybrid landscape of substantial substitution and profound augmentation."
level3_says_no_automation,DEU,Germany,High income,21261,"Write interesting and effective press releases, prepare information for media kits, and develop and maintain company internet or intranet Web pages.",3,informational_transformation,both,True,"Generative models can draft press releases and structure web content effectively, reducing human labor for initial drafting and formatting, while high-level strategic communication oversight remains human-led."
level3_says_no_automation,DNK,Denmark,High income,15983,Provide application or analytical support to researchers or traders on issues such as valuations or data.,3,informational_transformation,both,True,"Much of the data retrieval, cleaning, valuation modeling, and report drafting is now automated by specialized financial software and LLMs, though high-stakes interpretation remains human-led."
level3_says_no_automation,FIN,Finland,High income,673,Review inventory and sales records to prepare reports for management and budget departments.,3,informational_transformation,substitute,True,"Automation tools in Finland frequently integrate data systems to automatically generate standardized reports, significantly reducing human labor in data aggregation and report synthesis, though interpretation remains human-led."
level3_says_no_automation,FIN,Finland,High income,9366,Develop visual aids and charts for use in lectures or to present evidence in court.,3,informational_transformation,both,True,"Generative AI tools now produce high-quality charts and visual layouts from raw data or natural language descriptions, significantly reducing the labor required for drafting, though complex customization remains human-led in Finnish professional settings."
level3_says_no_automation,FRA,France,High income,20247,"Prepare government or organizational reports of birth, death, and disease statistics, workforce evaluations, or medical status of individuals.",3,informational_transformation,substitute,True,"Automated systems in France can now ingest structured vital statistics databases to generate standardized official reports, effectively replacing manual drafting and aggregation tasks, though verification remains a human responsibility."
level3_says_no_automation,FRA,France,High income,8655,"Record verbatim proceedings of courts, legislative assemblies, committee meetings, and other proceedings, using computerized recording equipment, electronic stenograph machines, or stenomasks.",3,informational_transformation,substitute,True,"High-accuracy ASR systems now automate verbatim transcription, significantly reducing the manual effort of stenography in France where digital workflows are standard, though final legal certification often remains human-mediated."
level3_says_no_automation,GBR,United Kingdom,High income,15238,"Set up 24-hour Holter and event monitors, scan and interpret tapes, and report results to physicians.",3,inference_scoring,substitute,True,"Automated analysis software now routinely identifies cardiac arrhythmias from Holter data with high clinical accuracy, displacing the manual scanning of tapes, although physical setup remains a human task."
level3_says_no_automation,HUN,Hungary,High income,12913,"Prepare or interpret for clients information, such as investment performance reports, financial document summaries, or income projections.",3,informational_transformation,both,True,"Financial reporting involves extensive data processing and synthesis, which LLM-integrated platforms in the Hungarian market can now automate, though high-level strategic interpretation remains a human-led advisory function."
level3_says_no_automation,MAR,Morocco,Lower middle income,10627,Collaborate with others to plan flight schedules and air crew assignments.,3,planning_control,both,True,"Commercial aviation planning software reliably optimizes complex scheduling constraints; while collaboration remains human-centric, the core optimization task is now extensively automated in the Moroccan airline sector."
level3_says_no_automation,MMR,Myanmar,Lower middle income,22595,"Transpose music to alternate keys, or to fit individual styles or purposes.",3,informational_transformation,substitute,False,"Digital music software reliably automates transposition, making manual key changing largely redundant in typical professional settings, though high-level arrangement nuance remains a human-led activity."
level3_says_no_automation,NOR,Norway,High income,8941,Direct and support the compilation and analysis of technical source data necessary for product development.,3,informational_transformation,both,True,"Large language models and data processing pipelines in Norway's high-tech sector can automate the majority of data compilation and basic trend synthesis, though high-level strategic interpretation remains human-led."
level3_says_no_automation,SVK,Slovak Republic,High income,22664,"Edit or rewrite existing written material as necessary, and submit written material for approval by supervisor, editor, or publisher.",3,informational_transformation,both,True,"Advanced language models can fluently rewrite and edit texts in Slovak, making complete automation of routine drafting plausible while complex editorial judgment often remains human-led for high-stakes publications."
