label,plot_label,family,kind,diff_pp,se_pp,ci_pp,y,plot_label_new
"Paper-based records, weak digital integration","   $\hookrightarrow$ Paper-based records, weak digital integration","Paper, basic-software and infrastructure constraints",child,-33.900000000000006,1.38251606693653,2.7097314911955985,0.0,"   $\hookrightarrow$ Paper-based records, weak digital integration"
Small-scale site-specific manual work,   $\hookrightarrow$ Small-scale site-specific manual work,"Paper, basic-software and infrastructure constraints",child,-34.300000000000004,1.30483956989032,2.5574855569850268,0.620000000000001,   $\hookrightarrow$ Small-scale site-specific manual work
Limited infrastructure and unreliable connectivity,   $\hookrightarrow$ Limited infrastructure and unreliable connectivity,"Paper, basic-software and infrastructure constraints",child,-35.949999999999996,1.46368368678737,2.868820026103245,1.240000000000002,   $\hookrightarrow$ Limited infrastructure and unreliable connectivity
"Paper-based workflows, limited automation","   $\hookrightarrow$ Paper-based workflows, limited automation","Paper, basic-software and infrastructure constraints",child,-36.75,1.27398205055352,2.497004819084899,1.860000000000003,"   $\hookrightarrow$ Paper-based workflows, limited automation"
"Paper, basic-software and infrastructure constraints","Paper, basic-software and infrastructure constraints","Paper, basic-software and infrastructure constraints",family,-35.225,0.85529407309751,1.6763763832711196,2.4400000000000013,"Paper-based and infrastructure-
constrained work"
Manual dexterity and tactile manipulation,   $\hookrightarrow$ Manual dexterity and tactile manipulation,Manual physical presence and dexterity,child,-17.4,1.09964749456639,2.155309089350125,3.5199999999999996,   $\hookrightarrow$ Manual dexterity and tactile manipulation
Low-cost manual material handling,   $\hookrightarrow$ Low-cost manual material handling,Manual physical presence and dexterity,child,-27.500000000000004,1.3739792245353302,2.6929992800892473,4.139999999999999,   $\hookrightarrow$ Low-cost manual material handling
Manual physical presence and dexterity,Manual physical presence and dexterity,Manual physical presence and dexterity,family,-22.45,0.94852443263189,1.859107887958504,4.719999999999999,Manual presence and dexterity
Trust-based communication and negotiation,   $\hookrightarrow$ Trust-based communication and negotiation,"Interpersonal, care and trust-based work",child,-12.2,1.1296982380505498,2.2142085465790777,5.799999999999999,   $\hookrightarrow$ Trust-based communication and negotiation
Healthcare documentation and patient coordination,   $\hookrightarrow$ Healthcare documentation and patient coordination,"Interpersonal, care and trust-based work",child,-19.0,1.2787953936535,2.50643897156086,6.419999999999998,   $\hookrightarrow$ Healthcare documentation and patient coordination
Trust-based service and rapport,   $\hookrightarrow$ Trust-based service and rapport,"Interpersonal, care and trust-based work",child,-23.1,1.3689894324037,2.683219287511252,7.039999999999997,   $\hookrightarrow$ Trust-based service and rapport
High-context negotiation and judgment,   $\hookrightarrow$ High-context negotiation and judgment,"Interpersonal, care and trust-based work",child,-26.75,1.39667250887547,2.7374781173959213,7.659999999999997,   $\hookrightarrow$ High-context negotiation and judgment
"Interpersonal, care and trust-based work","Interpersonal, care and trust-based work","Interpersonal, care and trust-based work",family,-20.2625,0.81387375686961,1.5951925634644355,8.239999999999997,Trust-based interpersonal work
Expert legal/regulatory judgment,   $\hookrightarrow$ Expert legal/regulatory judgment,Local institutional and professional judgment,child,4.15,1.46627546247829,2.8738999064574484,9.319999999999997,   $\hookrightarrow$ Expert legal/regulatory judgment
Qualitative judgment with local knowledge,   $\hookrightarrow$ Qualitative judgment with local knowledge,Local institutional and professional judgment,child,-28.35,1.17742597047881,2.3077549021384676,9.939999999999996,   $\hookrightarrow$ Qualitative judgment with local knowledge
