manuscript_figure,reproduction_class,replication_command,rebuilt_file,original_production_script,included_public_source_files,blocker_or_rendering_note,expected_statistics
fig3_map_share_exposed.png,numerical_source_data_check_render,python3 code/manuscript_figures/build_current_check_renders.py,fig3_map_share_exposed_rebuilt.pdf,scripts/paper/build_countryfirst_nolegacy_manuscript_assets.py,outputs/source_data/country_map/country_map_figure_panel.csv,Check render omits the manuscript cartographic geometry but plots the same 124-country exposure values,124 countries
fig_country_opening_scatter_log_nopanel.pdf,numerical_source_data_check_render,Rscript code/02_rebuild_figures.R,fig_country_opening_scatter_log_nopanel_rebuilt.pdf,scripts/replication_package_templates/02_rebuild_figures.R,outputs/source_data/country_map/scatter_exposed_share_vs_log_gdp_pc.csv,Source-data rendering; typography and point placement may differ,124 countries
fig_tasks_country_pathways_joint_review_all_tasks.pdf,numerical_source_data_check_render,Rscript code/02_rebuild_figures.R,fig_tasks_country_pathways_joint_review_all_tasks_rebuilt.pdf,scripts/paper/refresh_fig2_taskid_joint_review.R,outputs/source_data/country_map/scatter_exposed_share_vs_log_gdp_pc.csv,Source-data rendering of all-task substitution and augmentation shares,124 countries
fig_income_group_pathway_modal_alluvial_main.pdf,numerical_source_data_check_render,Rscript code/02_rebuild_figures.R,fig_income_group_pathway_modal_alluvial_main_rebuilt.pdf,scripts/paper_appendix/build_income_group_pathway_brainstorm_variants.py,outputs/source_data/income_group_pathways/balanced_income_group_state_shares.csv; outputs/source_data/income_group_pathways/balanced_task_pathway_states.csv,Check render is stacked-state rather than alluvial artwork,4 income groups
fig_tasks_country_pathways_joint_review.pdf,numerical_source_data_check_render,Rscript code/02_rebuild_figures.R,fig_tasks_country_pathways_joint_review_rebuilt.pdf,scripts/paper/refresh_fig2_taskid_joint_review.R,outputs/source_data/country_map/scatter_exposed_share_vs_log_gdp_pc.csv,Source-data rendering of within-exposed pathway shares,124 countries
fig_channel_ai_mechanism.pdf,numerical_source_data_check_render,Rscript code/02_rebuild_figures.R,fig_channel_ai_mechanism_rebuilt.pdf,paper_brainstorm/build_main_figs6_7_final.py,outputs/source_data/channel_ai/country_channel_ai_panel.csv,Source-data rendering; manuscript composition differs,124 countries
fig_ai_materiality_margins_2x2.pdf,numerical_source_data_check_render,Rscript code/02_rebuild_figures.R,fig_ai_materiality_margins_2x2_rebuilt.pdf,paper_brainstorm/build_main_figs6_7_final.py,outputs/source_data/channel_ai/country_channel_ai_panel.csv; outputs/source_data/channel_ai/region_ai_function_summary.csv,Source-data rendering of all four numerical panels,124 countries
fig_gender_informality_margin_applications.pdf,numerical_source_data_check_render,python3 code/manuscript_figures/build_current_check_renders.py,fig_gender_informality_margin_applications_rebuilt.pdf,validation/application_portfolio/gender_informality_margin_section_20260604/build_gender_informality_section.R,data_analysis/occupation_isco2_gender_gap_country_panel.csv; data_analysis/industry_isic2_gender_gap_country_panel.csv; outputs/source_data/informality/informality_country_regressions.csv,Compact released panels reproduce medians IQRs and country-level coefficients; cell-FE informality input is omitted,Country-level informality n=92
fig_gender_gap_decomposition.pdf,numerical_source_data_check_render,python3 code/manuscript_figures/build_current_check_renders.py,fig_gender_gap_decomposition_rebuilt.pdf,scripts/paper_appendix/build_gender_exposure_gap_diagnostics_20260717.R,outputs/source_data/ilostat_gender/gender_gap_decomposition_by_income.csv; outputs/source_data/ilostat_gender/gender_gap_decomposition_country_level.csv,Released decomposition summaries reproduce all plotted components and manuscript-reported means,16 plotted domain-margin-income rows
fig_country_context_rf_rationale_combined.pdf,exact_reproducible_build,python3 code/manuscript_figures/build_combined_rf_rationale_main_figure.py,fig_country_context_rf_rationale_combined.pdf,validation/rationale_theme_model/heldout_hypothesis_literature_positioning_20260604/build_combined_rf_rationale_main_figure.py,outputs/source_data/country_predictors/country_covariate_rf_mean_abs_shap.csv; outputs/source_data/rationale_concepts/current_paper/rf_companion_rationale_panel_source.csv,Pixel-exact at 150 dpi; PDF byte hash can differ because of generated metadata and font object encoding,Five RF seeds; 18 pooled rationale families
fig_task_country_exposure_measures.pdf,numerical_source_data_check_render,python3 code/manuscript_figures/build_current_check_renders.py,fig_task_country_exposure_measures_rebuilt.pdf,not located in tracked project,data_intermediate/task_country_labels_analysis.parquet,Check render recomputes exposure-level counts from retained labels,2330776 task-country rows
fig_benchmark_ladder_country_deviation.pdf,numerical_source_data_check_render,python3 code/manuscript_figures/build_current_check_renders.py,fig_benchmark_ladder_country_deviation_rebuilt.pdf,scripts/paper/build_v6b_benchmark_ladder_pack.py,outputs/source_data/benchmark_ladder/country_benchmark_residual_summary.csv; data_intermediate/benchmark_task_labels.parquet,Check render uses released country residual summary,124 countries
fig_validation_channel_alignment.pdf,numerical_source_data_check_render,Rscript code/02_rebuild_figures.R,fig_validation_channel_alignment_rebuilt.pdf,not located in tracked project,outputs/source_data/construct_validity/channel_aligned_correlations.csv,Source-data rendering of aligned and non-aligned correlations,All retained construct pairs
fig_openai_observed_use_iwa_alignment.pdf,exact_reproducible_build,python3 code/manuscript_figures/build_openai_observed_use_iwa_validation.py,fig_openai_observed_use_iwa_alignment.pdf,scripts/validation/build_openai_observed_use_iwa_validation.py,outputs/source_data/openai_observed_use/onet_task_hierarchy.csv; outputs/source_data/openai_observed_use/usa_share_of_messages_by_onet_iwa_month.csv; outputs/source_data/openai_observed_use/usa_share_of_work_related_messages_by_onet_iwa_month.csv,Public OpenAI Signals and O*NET inputs are included under CC BY 4.0 attribution terms,164 named IWA categories
fig_validation_imf_aipi.pdf,numerical_source_data_check_render,Rscript code/02_rebuild_figures.R,fig_validation_imf_aipi_rebuilt.pdf,not located in tracked project,outputs/source_data/firm_ai_adoption/imf_aipi_atlas_merged.csv; outputs/source_data/firm_ai_adoption/imf_aipi_correlations.csv,Source-data rendering of released country merge and correlation,Released complete cases
fig_validation_eurostat_adoption.pdf,numerical_source_data_check_render,Rscript code/02_rebuild_figures.R,fig_validation_eurostat_adoption_rebuilt.pdf,validation/firm_ai_adoption/build_eurostat_adoption_validation.py,outputs/source_data/firm_ai_adoption/eurostat_x_atlas_industry_merged.csv; outputs/source_data/firm_ai_adoption/eurostat_validation_robustness.csv,Source-data rendering of released industry merge,Released complete cases
fig_validation_cross_model_validity.pdf,numerical_source_data_check_render,Rscript code/02_rebuild_figures.R,fig_validation_cross_model_validity_rebuilt.pdf,not located in tracked project,outputs/source_data/cross_model_validity/agreement_summary.csv; outputs/source_data/cross_model_validity/predictions.csv,Source-data rendering of retained agreement metrics,Retained model-comparison sample
fig_validation_rationale_predictability.pdf,numerical_source_data_check_render,Rscript code/02_rebuild_figures.R,fig_validation_rationale_predictability_rebuilt.pdf,not located in tracked project,outputs/source_data/rationale_label_predictability/agreement_summary.csv; outputs/source_data/rationale_label_predictability/predictions.csv,Source-data rendering of retained predictability metrics,Retained heldout predictions
fig_validation_paraphrase_stability.pdf,numerical_source_data_check_render,Rscript code/02_rebuild_figures.R,fig_validation_paraphrase_stability_rebuilt.pdf,not located in tracked project,outputs/source_data/paraphrase_stability/agreement_by_paraphrase.csv; outputs/source_data/paraphrase_stability/agreement_pairwise.csv,Source-data rendering of retained paraphrase agreement metrics,Retained paraphrase sample
fig_validation_country_conditioning_divergence.pdf,numerical_source_data_check_render,python3 code/manuscript_figures/build_current_check_renders.py,fig_validation_country_conditioning_divergence_rebuilt.pdf,not located in tracked project,outputs/source_data/country_conditioning_divergence/task_pair_results.csv; outputs/source_data/country_conditioning_divergence/summary_stats.csv,Check render plots the released same-task high/low-country similarity distributions,18797 tasks
fig_validation_distribution_overview.pdf,numerical_source_data_check_render,python3 code/manuscript_figures/build_current_check_renders.py,fig_validation_distribution_overview_rebuilt.pdf,not located in tracked project,data_intermediate/task_country_labels_analysis.parquet,Check render recomputes the retained exposure distribution,2330776 task-country rows
fig_validation_distribution_by_income.pdf,numerical_source_data_check_render,python3 code/manuscript_figures/build_current_check_renders.py,fig_validation_distribution_by_income_rebuilt.pdf,not located in tracked project,data_intermediate/task_country_labels_analysis.parquet,Check render recomputes exposure distributions by four income groups,4 income groups
fig_appendix_hypothesaes_exposure_20_concepts.pdf,exact_reproducible_build,python3 code/manuscript_figures/build_fixed_concept_appendix_figures.py,fig_appendix_hypothesaes_exposure_20_concepts.pdf,validation/rationale_theme_model/heldout_hypothesis_literature_positioning_20260604/full_fixed_concept_appendix_figures_20260624/build_full_fixed_concept_appendix_figures.py,outputs/source_data/rationale_concepts/current_paper/full_fixed_concept_appendix_figure_source.csv,Pixel-exact at 150 dpi; PDF byte hash can differ because of generated metadata and font object encoding,20 concepts; 2000 pairs each; significant=20
fig_appendix_hypothesaes_substitution_20_concepts.pdf,exact_reproducible_build,python3 code/manuscript_figures/build_fixed_concept_appendix_figures.py,fig_appendix_hypothesaes_substitution_20_concepts.pdf,validation/rationale_theme_model/heldout_hypothesis_literature_positioning_20260604/full_fixed_concept_appendix_figures_20260624/build_full_fixed_concept_appendix_figures.py,outputs/source_data/rationale_concepts/current_paper/full_fixed_concept_appendix_figure_source.csv,Pixel-exact at 150 dpi; PDF byte hash can differ because of generated metadata and font object encoding,20 concepts; 2000 pairs each; significant=13
fig_appendix_hypothesaes_augmentation_20_concepts.pdf,exact_reproducible_build,python3 code/manuscript_figures/build_fixed_concept_appendix_figures.py,fig_appendix_hypothesaes_augmentation_20_concepts.pdf,validation/rationale_theme_model/heldout_hypothesis_literature_positioning_20260604/full_fixed_concept_appendix_figures_20260624/build_full_fixed_concept_appendix_figures.py,outputs/source_data/rationale_concepts/current_paper/full_fixed_concept_appendix_figure_source.csv,Pixel-exact at 150 dpi; PDF byte hash can differ because of generated metadata and font object encoding,20 concepts; 2000 pairs each; significant=12
fig_validation_us_vs_external.pdf,numerical_source_data_check_render,python3 code/manuscript_figures/build_current_check_renders.py,fig_validation_us_vs_external_rebuilt.pdf,not located in tracked project,outputs/source_data/construct_validity/country_vs_us_movement.csv,Check render plots released Pearson and Spearman movement values,124 countries
fig_validation_country_contribution.pdf,numerical_source_data_check_render,python3 code/manuscript_figures/build_current_check_renders.py,fig_validation_country_contribution_rebuilt.pdf,not located in tracked project,outputs/source_data/construct_validity/aligned_by_scope.csv; outputs/source_data/construct_validity/country_replay.csv,Check render displays released scope-by-construct correlations,4 scopes
fig_within_income_variability.pdf,numerical_source_data_check_render,python3 code/manuscript_figures/build_current_check_renders.py,fig_within_income_variability_rebuilt.pdf,paper_brainstorm/build_within_income_variability.py,outputs/source_data/country_map/country_map_figure_panel.csv,Check render recomputes country variability within income groups,124 countries
fig_income_group_pathway_transition_heatmaps_triptych_appendix.pdf,numerical_source_data_check_render,python3 code/manuscript_figures/build_current_check_renders.py,fig_income_group_pathway_transition_heatmaps_triptych_appendix_rebuilt.pdf,scripts/paper_appendix/build_income_group_pathway_brainstorm_variants.py,outputs/source_data/income_group_pathways/income_group_pathway_transition_row_shares.csv; outputs/source_data/income_group_pathways/income_group_pathway_transition_counts.csv,Check render reproduces all transition-matrix cells in a single heatmap,12 transition rows
fig_polarisation_p_loess.pdf,numerical_source_data_check_render,python3 code/manuscript_figures/build_current_check_renders.py,fig_polarisation_p_loess_rebuilt.pdf,paper_brainstorm/build_dump_polarisation_extra.py,outputs/source_data/country_map/country_map_figure_panel.csv,Check render plots the released GDP and substitution-minus-augmentation values; smoothing artwork may differ,124 countries
fig_polarisation_p_boxplot.pdf,numerical_source_data_check_render,python3 code/manuscript_figures/build_current_check_renders.py,fig_polarisation_p_boxplot_rebuilt.pdf,paper_brainstorm/build_dump_polarisation_extra.py,outputs/source_data/country_map/country_map_figure_panel.csv,Check render recomputes income-group distributions,4 income groups
fig_appendix_joint_pathway_decomposition.pdf,numerical_source_data_check_render,python3 code/manuscript_figures/build_current_check_renders.py,fig_appendix_joint_pathway_decomposition_rebuilt.pdf,scripts/paper/build_countryfirst_nolegacy_manuscript_assets.py,outputs/source_data/income_group_pathways/balanced_income_group_state_shares.csv; outputs/source_data/income_group_pathways/balanced_task_pathway_states.csv,Check render reproduces released state shares,4 income groups
fig_channel_rotation_loess_all_tasks.pdf,numerical_source_data_check_render,python3 code/manuscript_figures/build_current_check_renders.py,fig_channel_rotation_loess_all_tasks_rebuilt.pdf,paper_brainstorm/build_main_figs6_7_final.py,outputs/source_data/channel_ai/region_channel_ai_summary.csv; outputs/source_data/channel_ai/country_channel_ai_panel.csv,Check render reproduces channel trajectories; original LOESS styling may differ,5 channels
fig_channel_composition_income_function.pdf,numerical_source_data_check_render,python3 code/manuscript_figures/build_current_check_renders.py,fig_channel_composition_income_function_rebuilt.pdf,scripts/paper/build_v6b_channel_ai_pack.py,outputs/source_data/channel_ai/region_channel_ai_summary.csv; outputs/source_data/channel_ai/region_ai_function_summary.csv,Check render reproduces released channel shares by income,5 channels
fig_ai_function_mix_income_taskid.pdf,numerical_source_data_check_render,python3 code/manuscript_figures/build_current_check_renders.py,fig_ai_function_mix_income_taskid_rebuilt.pdf,scripts/paper/build_ai_function_income_companion.py,outputs/source_data/channel_ai/ai_function_income_summary_taskid.csv,Check render reproduces task-id-normalized AI function shares,4 functions by 4 income groups
fig_isco_income_rotation_top_tier.pdf,numerical_source_data_check_render,python3 code/manuscript_figures/build_current_check_renders.py,fig_isco_income_rotation_top_tier_rebuilt.pdf,scripts/paper/build_countryfirst_nolegacy_manuscript_assets.py,data_intermediate/country_occupation_panel.parquet,Check render recomputes top occupation mean exposures; manuscript rotation layout differs,114452 country-occupation rows
fig11_isic_income_rotation_main.pdf,numerical_source_data_check_render,python3 code/manuscript_figures/build_current_check_renders.py,fig11_isic_income_rotation_main_rebuilt.pdf,scripts/paper/build_countryfirst_nolegacy_manuscript_assets.py,data_intermediate/country_industry_panel.parquet,Check render recomputes top industry mean exposures; manuscript rotation layout differs,51832 country-industry rows
fig_country_covariate_feature_importance_main68.pdf,numerical_source_data_check_render,Rscript code/02_rebuild_figures.R,fig_country_covariate_permutation_importance_main68_rebuilt.pdf,scripts/paper_appendix/build_country_covariate_feature_importance_pack.py,outputs/source_data/country_predictors/country_covariate_rf_permutation_importance.csv,Source-data rendering of the earlier permutation-importance companion; the manuscript PDF and caption report permutation importance rather than TreeSHAP,27 main68 permutation-importance rows
fig_country_predictor_linear_shapley_r2.pdf,numerical_source_data_check_render,python3 code/manuscript_figures/build_current_check_renders.py,fig_country_predictor_linear_shapley_r2_rebuilt.pdf,scripts/paper_appendix/build_country_predictor_robustness_dump.py,outputs/source_data/country_predictors/country_covariate_shapley_importance.csv,Check render reproduces linear Shapley R-squared contributions,27 feature-outcome rows
figS28_ilostat_country_weighting_scatter.png,numerical_source_data_check_render,python3 code/manuscript_figures/build_current_check_renders.py,figS28_ilostat_country_weighting_scatter_rebuilt.pdf,scripts/paper_appendix/build_ilostat_employment_extension_pack.py,data_intermediate/country_employment_weighting_comparison.csv; outputs/source_data/ilostat_employment/country_employment_weighting_comparison.csv,Check render reproduces employment-versus-transport weighting values,91 countries
