quadrant,task_label,high_country,low_country,high_rationale,low_rationale,jaccard,cosine
Q1,"Perform system analysis, data analysis or programming, using a variety of computer languages and procedures.",Singapore,Burundi,"In Singapore's tech-advanced setting, LLMs and code-generation tools automate significant portions of boilerplate coding and data structure analysis, though human oversight remains essential for complex system architecture and high-level requirements.","Global AI coding and data analysis tools are accessible in Burundi, primarily serving to increase the productivity of skilled professionals rather than replacing them in the local labor market.",0.1,0.34639707
Q1,Perform fluorescein angiography of the eye.,Singapore,Niger,"While AI algorithms enhance image analysis and retinal diagnostics, the physical procedure of administering dye and operating specialized angiography equipment remains highly clinical and requires direct human professional oversight for patient safety.","In Niger, the lack of widespread advanced medical infrastructure and the highly specialized, delicate nature of this clinical procedure make any significant labor-reallocation via automation unfeasible in 2026.",0.1052631578947368,0.35792416
Q1,Program lighting consoles or load automated lighting control systems onto consoles.,Puerto Rico (US),Mozambique,"Lighting programming relies on structured syntax and logic; automation via pre-programmed templates and external show-control software increasingly handles repetitive patching and cueing tasks, while still requiring expert creative oversight.","In Mozambique, this specialized technical task relies on human expertise for creative design and real-time execution; automation is limited to basic programmed sequences without meaningful labor-reallocating AI or advanced autonomous systems.",0.0975609756097561,0.3604681
Q1,Request repair services and wait for repair workers to arrive.,Ireland,South Sudan,"Automated ticketing systems and facility management software allow users to log requests directly into a database, removing the need for intermediary human communication and manual scheduling in typical Irish workplace settings.","In the context of South Sudan, limited digital infrastructure, lack of widespread automated maintenance dispatch systems, and reliance on manual communication render this task devoid of a credible automation margin.",0.1052631578947368,0.34059307
Q1,"Buy or sell stocks, bonds, commodity futures, foreign currencies, or other securities on behalf of investment dealers.",Australia,Burundi,"Trading is highly automatable through algorithmic execution and AI-driven predictive systems, which have largely displaced manual human order entry and routine portfolio management in the Australian financial markets.",Burundi's current financial infrastructure lacks the digital market integration and high-volume electronic trading systems required for credible task-level automation of securities trading.,0.0909090909090909,0.35589916
Q1,Plan or coordinate hydroelectric production operations to meet customer requirements.,Portugal,"Yemen, Rep.","Energy dispatch and production planning increasingly rely on algorithmic optimization systems, which recommend or automate scheduling decisions by processing weather forecasts, demand profiles, and complex reservoir constraints in the Portuguese market context.","Yemen's hydroelectric infrastructure is severely degraded or non-functional, making complex automated planning and coordination systems irrelevant in the 2026 country context.",0.1111111111111111,0.3485344
Q1,"Select and obtain materials and supplies, such as textbooks.",Kuwait,Afghanistan,"Procurement and supply chain platforms in Kuwait allow automation of order processing, inventory tracking, and standardized vendor selection, significantly reducing the administrative labor required for routine textbook and supply acquisition.","In the Afghanistan context, this task is fundamentally driven by localized administrative processes, variable supply chains, and specific educational needs that lack the standardized digital infrastructure for credible automation.",0.1111111111111111,0.35305375
Q1,Mark identification numbers or symbols onto patterns or templates.,Qatar,Sierra Leone,"Automated printing or laser-etching machinery can directly mark patterns and templates with high precision, replacing manual marking processes common in manufacturing sectors in Qatar.","In the Sierra Leonean context, this manual task is typically performed using basic physical tools without investment in advanced automated machinery or AI integration, resulting in only negligible automation potential.",0.088235294117647,0.3479549
Q1,"Select methods, techniques, or criteria for data warehousing evaluative procedures.","Korea, Rep.",Mali,Selecting criteria for data warehousing evaluation requires deep organizational context and strategic judgment that typical commercial software cannot substitute or substantively augment without a human expert driving the process.,This strategic task requires high-level business acumen and localized infrastructure context that is not amenable to current automated reallocation in the Malian market context.,0.09375,0.33933282
Q1,"Adjust and maintain industrial machinery, using control and regulating devices.",Hungary,Sierra Leone,"Industrial control systems in Hungary increasingly integrate adaptive logic, allowing automation to manage routine machine adjustments while humans focus on complex troubleshooting and non-routine process optimization.","In Sierra Leone's industrial context, machine maintenance remains highly manual and localized, with limited adoption of advanced automated monitoring or control systems that would materially substitute or augment human labor.",0.1025641025641025,0.36563748
